title,abstract
"Chitosan Nanoparticles: Approaches to Preparation, Key Properties, Drug Delivery Systems, and Developments in Therapeutic Efficacy.","The integration of nanotechnology into drug delivery systems holds great promise for enhancing pharmaceutical effectiveness. This approach enables precise targeting, controlled release, improved patient compliance, reduced side effects, and increased bioavailability. Nanoparticles are vital for transporting biomolecules-such as proteins, enzymes, genes, and vaccines-through various administration routes, including oral, intranasal, vaginal, buccal, and pulmonary. Among biodegradable polymers, chitosan, a linear polysaccharide derived from chitin, stands out due to its biocompatibility, safety, biodegradability, mucoadhesive properties, and ability to enhance permeation. Its cationic nature supports strong molecular interactions and provides antimicrobial, anti-inflammatory, and hemostatic benefits. However, its solubility, influenced by pH and ionic sensitivity, poses challenges requiring effective solutions. This review explores chitosan, its modified derivatives and chitosan nanoparticles mainly, focusing on nanoparticles physicochemical properties, drug release mechanisms, preparation methods, and factors affecting their mean hydrodynamic diameter (particle size). It highlights their application in drug delivery systems and disease treatments across various routes. Key considerations include drug loading capacity, zeta potential, and stability, alongside the impact of molecular weight, degree of deacetylation, and drug solubility on nanoparticle properties. Recent advancements and studies underscore chitosan's potential, emphasizing its modified derivatives'versatility in improving therapeutic outcomes."
Electrosprayed nanoparticles for drug delivery and pharmaceutical applications.,"Nanotechnology based Pharma has emerged significantly and has influenced the Pharma industry up to a considerable extent. Nanoparticles technology holds a good share of the nanotech Pharma and is significant in comparison with the other domains. Electrospraying technology answers the potential needs of nanoparticle production such as scalability, reproducibility, effective encapsulation etc. Many drugs have been electrosprayed with and without polymer carriers. Drug release characteristics are improved with the incorporation of biodegradable polymer carriers which sustain the release of encapsulated drug. Electrospraying is acknowledged as an important technique for the preparation of nanoparticles with respect to pharmaceutical applications. Herein we attempted to consolidate the reports pertaining to electrospraying and their corresponding therapeutic application area."
Interactions of nanoparticles with plasma proteins: implication on clearance and toxicity of drug delivery systems.,"Intravenously injected nanoparticles, like any other foreign pathogen that enters the body, encounter multiple lines of defense intended to neutralize and eliminate the invading substance. Adsorption of plasma proteins on the nanoparticle surface is the first barrier of defense, which could lead to physical changes in the formulation, such as aggregation and charge neutralization, biochemical activation of defense cascades, and trigger elimination by multiple types of phagocytic cell."
Nano-scale drug delivery systems for luteolin: advancements and applications.,"Luteolin (Lu) is a naturally occurring flavonoid compound with a diverse array of pharmacological activities, including anti-tumor, anti-inflammatory, antibacterial, and neuroprotective properties. However, the therapeutic efficacy and clinical application of Lu are significantly hindered by inherent limitations, such as poor water solubility, short half-life, low bioavailability, and potential off-target toxicity. Recent studies have demonstrated that the utilization of nanocarriers presents a promising strategy to enhance the solubility of Lu, prolong its circulation time, and improve its targeting ability. Despite numerous reviews over the past few decades having focused on the source, pharmacological activities, and molecular mechanisms of Lu, there exists a conspicuous gap in the literature regarding a comprehensive review of Lu-loaded nanoformulations and their applications. To address this gap, we present an exhaustive overview of the advancements and applications of nano-scale drug delivery systems specifically designed for Lu. These platforms encompass micelles, nanocarrier-based systems, emulsified drug delivery systems, and vesicular drug delivery systems. We provide detailed insights into the synthetic materials, preparation methods, physicochemical properties, and significant outcomes associated with these nanoformulations. This systematic review will be particularly valuable to researchers seeking novel avenues in the field of nano-delivery strategies and exploring the potential clinical applications of Lu."
Exploring the physicochemical interactions and loading strategies of mesoporous silicon dioxide nanoparticles for drug delivery.,"Mesoporous silica nanoparticles play an important role in drug delivery due to their high surface area, porous structure, tunable pore size, chemical stability and functionalization capability. Such properties make them a good candidate for drug encapsulation. However, molecular binding is another parameter that govern drug loading apart of pores' structure and size. There is a lack of comprehensive reviews on that topic nowadays. This paper overviews the latest publications on the physicochemical aspects of the interaction of mesoporous silica nanoparticles with drugs. The review is focused primarily on a such parameters of the intermolecular binding between a drug and silica nanoparticle as a binding constant, enthalpy and entropy changes and experimental methods with the emphasis on the principles of thermodynamic parameters characterization. Such information would be very important for the development and optimization of drug delivery strategies based on mesoporous silica nanoparticles."
Engineering protein nanoparticles for drug delivery.,"Protein nanoparticles offer a highly tunable platform for engineering multifunctional drug delivery vehicles that can improve drug efficacy and reduce off-target effects. While many protein nanoparticles have demonstrated the ability to tolerate genetic and posttranslational modifications for drug delivery applications, this review will focus on three protein nanoparticles of increasing size. Each protein nanoparticle possesses distinct properties such as highly tunable stability, capacity for splitting or fusing subunits for modular surface decoration, and well-characterized conformational changes with impressive capacity for large protein cargos. While many of the genetic and posttranslational modifications leverage these protein nanoparticle's properties, the shared techniques highlight engineering approaches that have been generalized across many protein nanoparticle platforms."
Dual and multi-stimuli responsive polymeric nanoparticles for programmed site-specific drug delivery.,"In the past decades, polymeric nanoparticles have emerged as a most promising and viable technology platform for targeted and controlled drug delivery. As vehicles, ideal nanoparticles are obliged to possess high drug loading levels, deliver drug to the specific pathological site and/or target cells without drug leakage on the way, while rapidly unload drug at the site of action. To this end, various ""intelligent"" polymeric nanoparticles that release drugs in response to an internal or external stimulus such as pH, redox, temperature, magnetic and light have been actively pursued. These stimuli-responsive nanoparticles have demonstrated, though to varying degrees, improved in vitro and/or in vivo drug release profiles. In an effort to further improve drug release performances, novel dual and multi-stimuli responsive polymeric nanoparticles that respond to a combination of two or more signals such as pH/temperature, pH/redox, pH/magnetic field, temperature/reduction, double pH, pH and diols, temperature/magnetic field, temperature/enzyme, temperature/pH/redox, temperature/pH/magnetic, pH/redox/magnetic, temperature/redox/guest molecules, and temperature/pH/guest molecules have recently been developed. Notably, these combined responses take place either simultaneously at the pathological site or in a sequential manner from nanoparticle preparation, nanoparticle transporting pathways, to cellular compartments. These dual and multi-stimuli responsive polymeric nanoparticles have shown unprecedented control over drug delivery and release leading to superior in vitro and/or in vivo anti-cancer efficacy. With programmed site-specific drug delivery feature, dual and multi-stimuli responsive nanoparticulate drug formulations have tremendous potential for targeted cancer therapy. In this review paper, we highlight the recent exciting developments in dual and multi-stimuli responsive polymeric nanoparticles for precision drug delivery applications, with a particular focus on their design, drug release performance, and therapeutic benefits."
Nanomedicine for drug delivery and imaging: a promising avenue for cancer therapy and diagnosis using targeted functional nanoparticles.,"The diagnosis and treatment of cancer or tumor at the cellular level will be greatly improved with the development of techniques that enable the delivery of analyte probes and therapeutic agents into cells and cellular compartments. Organic and inorganic nanoparticles that interface with biological systems have recently attracted widespread interest in the fields of biology and medicine. The new term nanomedicine has been used recently. Nanoparticles are considered to have the potential as novel intravascular or cellular probes for both diagnostic (imaging) and therapeutic purposes (drug/gene delivery), which is expected to generate innovations and play a critical role in medicine. Target-specific drug/gene delivery and early diagnosis in cancer treatment is one of the priority research areas in which nanomedicine will play a vital role. Some recent breakthroughs in this field recently also proved this trend. Nanoparticles for drug delivery and imaging have gradually been developed as new modalities for cancer therapy and diagnosis. In this article, we review the significance and recent advances of gene/drug delivery to cancer cells, and the molecular imaging and diagnosis of cancer by targeted functional nanoparticles."
Protein Corona-Enabled Systemic Delivery and Targeting of Nanoparticles.,"Upon systemic administration, nanoparticles encounter serum proteins in the biological system resulting in the formation of ""protein corona"" on the surface. Increased understanding of the relationship between nanoparticles' ""chemical identity"" and ""biological identity"" can contribute to improved clinical translation. Recent studies of protein corona composition on nanoparticles, including from our group, suggest that a strategic choice of materials can influence the types of protein adsorbed from plasma and lead to improved delivery efficiency. This mini-review reflects on the fundamental knowledge of nanoparticle protein corona and highlights the recent applications of protein corona on nanoparticles' systemic circulation, cell, and tissue-specific delivery. Important considerations on the safety and efficacy aspects pertaining to the exploration of nanoparticle protein corona's targeting effect are also summarized. Finally, the future perspectives of protein corona research are discussed."
The Power of Field-Flow Fractionation in Characterization of Nanoparticles in Drug Delivery.,"Asymmetric-flow field-flow fractionation (AF4) is a gentle, flexible, and powerful separation technique that is widely utilized for fractionating nanometer-sized analytes, which extend to many emerging nanocarriers for drug delivery, including lipid-, virus-, and polymer-based nanoparticles. To ascertain quality attributes and suitability of these nanostructures as drug delivery systems, including particle size distributions, shape, morphology, composition, and stability, it is imperative that comprehensive analytical tools be used to characterize the native properties of these nanoparticles. The capacity for AF4 to be readily coupled to multiple online detectors (MD-AF4) or non-destructively fractionated and analyzed offline make this technique broadly compatible with a multitude of characterization strategies, which can provide insight on size, mass, shape, dispersity, and many other critical quality attributes. This review will critically investigate MD-AF4 reports for characterizing nanoparticles in drug delivery, especially those reported in the last 10-15 years that characterize multiple attributes simultaneously downstream from fractionation."
Use of Albumin for Drug Delivery as a Diagnostic and Therapeutic Tool.,"Drug delivery is an important topic that has attracted the attention of researchers in recent years. Albumin nanoparticles play a significant role in drug delivery as a carrier due to their unique characteristics. Albumin is non-toxic, biocompatible, and biodegradable. Its structure is such that it can interact with different drugs, which makes the treatment of the disease faster and also reduces the side effects of the drug. Albumin nanoparticles can be used in the diagnosis and treatment of many diseases, including cancer, diabetes, Alzheimer's, etc. These nanoparticles can connect to some compounds, such as metal nanoparticles, antibodies, folate, etc. and create a powerful nanostructure for drug delivery. In this paper, we aim to investigate albumin nanoparticles in carrier format for drug delivery application. In the beginning, different types of albumin and their preparation methods were discussed, and then albumin nanoparticles were discussed in detail in diagnosing and treating various diseases."
Nanotechnology in Drug Delivery: Safety and Toxicity Issues.,"Nanotoxicology deals with the new perception regarding nanotechnology i.e. risk and hazards associated with nanoscale materials. Although, nanotechnology is playing significant role in modern advancements from cell phones to medicines, yet it is necessary to consider their negative part as well that could be dangerous if not given proper attention. It is not certain that nanotechnology will essentially exert toxic effects since at present only few reports are available on their toxic effects and most of them are controversial. In this review we have summarized the advances in nanotechnology, their applications and, most importantly their safety issues that are often overlooked. However combined efforts are advocated to develop promising regulatory and ethical guidelines to control production, use and disposal of nanomaterials that will be safe to human health, environment and other living organisms."
CARBON DOTS: Bioimaging and Anticancer Drug Delivery.,"Cancer, responsible for approximately 10 million lives annually, urgently requires innovative treatments, as well as solutions to mitigate the limitations of traditional chemotherapy, such as long-term adverse side effects and multidrug resistance. This review focuses on Carbon Dots (CDs), an emergent class of nanoparticles (NPs) with remarkable physicochemical and biological properties, and their burgeoning applications in bioimaging and as nanocarriers in drug delivery systems for cancer treatment. The review initiates with an overview of NPs as nanocarriers, followed by an in-depth look into the biological barriers that could affect their distribution, from barriers to administration, to intracellular trafficking. It further explores CDs' synthesis, including both bottom-up and top-down approaches, and their notable biocompatibility, supported by a selection of in vitro, in vivo, and ex vivo studies. Special attention is given to CDs' role in bioimaging, highlighting their optical properties. The discussion extends to their emerging significance as drug carriers, particularly in the delivery of doxorubicin and other anticancer agents, underscoring recent advancements and challenges in this field. Finally, we showcase examples of other promising bioapplications of CDs, emergent owing to the NPs flexible design. As research on CDs evolves, we envisage key challenges, as well as the potential of CD-based systems in bioimaging and cancer therapy."
Albumin corona on nanoparticles - a strategic approach in drug delivery.,"Nanomaterials have been used widely for delivery of therapeutic agents. Protein-nanoparticle (NP) complexes have gained importance as vehicles for targeted drug delivery due to increased ease of administration, stability and half-life of drug, and reduced toxic side effects. Designing of phospholipid-bovine serum albumin (BSA) complexes and stealth NPs with BSA has paved the way for drug delivery carriers with prolonged blood circulation times. Preformed albumin corona has shown to decrease non-specific association and thereby reduce the clearance rate. Albumin corona has enabled the localization of drug carriers in specific tissues such as liver and heart, thus regulating biodistribution. Tailored albumin-NP conjugates have also enabled controlled degradation of NP and drug release. However, the binding of albumin with NP is associated with conformational and functional modulations in protein as observed with silver, gold and superparamagnetic iron oxide NPs. In this review, we highlight the various potential albumin-NP hybrids as nano drug carriers."
New progress and prospects: The application of nanogel in drug delivery.,"Nanogel has attracted considerable attention as one of the most versatile drug delivery systems especially for site-specific and/or time-controlled delivery of bioactive agents owing to their combining features of hydrogel and nanoparticle. Physically synthesized nanogels can offer a platform to encapsulate various types of bioactive compounds, particularly hydrophobic drugs and biomacromolecules, but they have poor mechanical stability, whereas nanogels prepared by chemical cross-link have a wider application and larger flexibility. As an ideal drug-delivery carrier, nanogel has excellent drug loading capacity, high stability, biologic consistence and response to a wide variety of environmental stimuli. Nowadays, targeting and response especially multi-response of the nanogel system for drug delivery have become an issue in research. And the application study of nanogels mainly focuses on antitumor agents and proteins. This review focuses on the formation of nanogels (physical and chemical cross-linking) and their release behavior. Recent application of nanogels is also discussed."
Recent Advances in Nanoparticle-Based Cancer Drug and Gene Delivery.,"Effective and safe delivery of anticancer agents is among the major challenges in cancer therapy. The majority of anticancer agents are toxic to normal cells, have poor bioavailability, and lack in vivo stability. Recent advancements in nanotechnology provide safe and efficient drug delivery systems for successful delivery of anticancer agents via nanoparticles. The physicochemical and functional properties of the nanoparticle vary for each of these anticancer agents, including chemotherapeutics, nucleic acid-based therapeutics, small molecule inhibitors, and photodynamic agents. The characteristics of the anticancer agents influence the design and development of nanoparticle carriers. This review focuses on strategies of nanoparticle-based drug delivery for various anticancer agents. Recent advancements in the field are also highlighted, with suitable examples from our own research efforts and from the literature."
Stimuli-responsive nanoparticle-nanofiber hybrids for drug delivery and photodynamic therapy.,"Hybrid nanomaterials possess integrated multi-components to syncretize various properties and functions within a single entity. Owing to this synergistic effect, they promise efficient anti-cancer therapy. In line with this target, we produced stimuli-responsive nanoparticle-nanofiber hybrids (NNHs) via embedding photoresponsive natural melanin nanoparticles (MNPs) within a biocompatible polycaprolactone (PCL) nanofiber matrix. Electrospinning was performed to produce monolithic and core-shell structured NNHs using a single and a coaxial nozzle. The NNHs were upgraded to drug delivery systems by model hydrophilic drug-ampicillin (amp)-loading. The drug release results showed that monolithic PCL meshes displayed a burst release, whereas nanohybrid formation with MNPs improved the release profile toward Fickian diffusion. Core-shell NNH presented a more sustained drug release profile than its MNP-free replica and monolithic NNH because its encapsulating shell layer hindered the diffusion of the drug. The photodynamic therapy accompanied by UV-A-irradiation on monolithic and core-shell NNHs yielded up to 34 % and 37 % malignant melanoma cell death. Moreover, this study proved the potency of MNPs-enhanced NNHs in drug delivery and photodynamic therapy applications. Even so, more efforts should be concerted to unlock unknown features of the NNHs, which have the power to advance emerging areas, including but not limited to material science, biosensing, and theranostics."
Integrating osteoimmunology and nanoparticle-based drug delivery systems for enhanced fracture healing.,"Fracture healing is a complex interplay of molecular and cellular mechanisms lasting from days to weeks. The inflammatory phase is the first stage of fracture healing and is critical in setting the stage for successful healing. There has been growing interest in exploring the role of the immune system and novel therapeutic strategies, such as nanoparticle drug delivery systems in enhancing fracture healing. Advancements in nanotechnology have revolutionized drug delivery systems to the extent that they can modulate immune response during fracture healing by leveraging unique physiochemical properties. Therefore, understanding the intricate interactions between nanoparticle-based drug delivery systems and the immune response, specifically macrophages, is essential for therapeutic efficacy. This review provides a comprehensive overview of the relationship between the immune system and nanoparticles during fracture healing. Specifically, we highlight the influence of nanoparticle characteristics, such as size, surface properties, and composition, on macrophage activation, polarization, and subsequent immune responses. IMPACT STATEMENT: This review provides valuable insights into the interplay between fracture healing, the immune system, and nanoparticle-based drug delivery systems. Understanding nanoparticle-macrophage interactions can advance the development of innovative therapeutic approaches to enhance fracture healing, improve patient outcomes, and pave the way for advancements in regenerative medicine."
Immune Cell-Mediated Biodegradable Theranostic Nanoparticles for Melanoma Targeting and Drug Delivery.,"Although tremendous efforts have been made on targeted drug delivery systems, current therapy outcomes still suffer from low circulating time and limited targeting efficiency. The integration of cell-mediated drug delivery and theranostic nanomedicine can potentially improve cancer management in both therapeutic and diagnostic applications. By taking advantage of innate immune cell's ability to target tumor cells, the authors develop a novel drug delivery system by using macrophages as both nanoparticle (NP) carriers and navigators to achieve cancer-specific drug delivery. Theranostic NPs are fabricated from a unique polymer, biodegradable photoluminescent poly (lactic acid) (BPLP-PLA), which possesses strong fluorescence, biodegradability, and cytocompatibility. In order to minimize the toxicity of cancer drugs to immune cells and other healthy cells, an anti-BRAF V600E mutant melanoma specific drug (PLX4032) is loaded into BPLP-PLA nanoparticles. Muramyl tripeptide is also conjugated onto the nanoparticles to improve the nanoparticle loading efficiency. The resulting nanoparticles are internalized within macrophages, which are tracked via the intrinsic fluorescence of BPLP-PLA. Macrophages carrying nanoparticles deliver drugs to melanoma cells via cell-cell binding. Pharmacological studies also indicate that the PLX4032 loaded nanoparticles effectively kill melanoma cells. The ""self-powered"" immune cell-mediated drug delivery system demonstrates a potentially significant advancement in targeted theranostic cancer nanotechnologies."
An Overview of Polymeric Nanoparticles-Based Drug Delivery System in Cancer Treatment.,"Cancer is recognized as one of the world's deadliest diseases, with more than 10 million new cases each year. Over the past 2 decades, several studies have been performed on cancer to pursue solutions for effective treatment. One of the vital benefits of utilizing nanoparticles (NPs) in cancer treatment is their high adaptability for modification and amalgamation of different physicochemical properties to boost their anti-cancer activity. Various nanomaterials have been designed as nanocarriers attributing nontoxic and biocompatible drug delivery systems with improved bioactivity. The present review article briefly explained various types of nanocarriers, such as organic-inorganic-hybrid NPs, and their targeting mechanisms. Here a special focus is given to the synthesis, benefits, and applications of polymeric NPs (PNPs) involved in various anti-cancer therapeutics. It has also been discussed about the drug delivery approach by the functionalized/encapsulated PNPs (without/with targeting ability) that are being applied in the therapy and diagnostic (theranostics). Overall, this review can give a glimpse into every aspect of PNPs, from their synthesis to drug delivery application for cancer cells."
Recent developments in nanoparticle-based drug delivery and targeting systems with emphasis on protein-based nanoparticles.,"Drug delivery systems with nm dimensions (nanoparticles [NPs]) are attracting increasing attention because they can sequester drugs in systemic circulation, prevent non-specific biodistribution, and target to specific tissues."
"Editorial of Special Issue ""Surface-Functionalized Nanoparticles as Drug Carriers"".","Safe and effective delivery of therapeutics at the target site is the key to successful therapy. Nanocarriers can offer significant advantages over conventional dosage forms. Over the decades, nanoparticles have been extensively used to increase bioavailability, improve solubility and stability, reduce toxicities, and facilitate the controlled release of therapeutics. Further, nanoparticles have often been surface-functionalized with a variety of ligands to enhance circulation half-life and increase target-specificity. Although nanotechnology has shown significant therapeutic benefits for multiple biomedical applications, limited nanoparticle-based formulations have progressed to clinical trials, and only a few have reached the pharmaceutical market. This editorial is an introduction to the special issue entitled Surface-Functionalized Nanoparticles as Drug Carriers. We outline the scope of the special issue, summarize the results and conclusions of the nine articles published in this issue, and provide perspective on the application of surface-functionalized nanoparticles in the drug delivery field."
Cell-penetrating peptides with nanoparticles hybrid delivery vectors and their uptake pathways.,"Cell-penetrating peptides (CPPs) are molecules that improve the cellular uptake of various molecular payloads that do not easily traverse the cellular membrane. CPPs can be found in pharmaceutical and medical products. The vast majority of cell-penetrating chemicals that are discussed in published research are peptide based. The paper also delves into the various applications of hybrid vectors. Because CPPs are able to carry cargo across the cellular membrane, they are a viable candidate for use as a suitable carrier for a wide variety of cargoes, such as siRNA, nanoparticles, and others. In which we discuss the CPPs, their classification, uptake mechanisms, hybrid vector systems, nanoparticles and their uptake mechanisms, etc. Further in this paper, we discuss CPPs conjugated to Nanoparticles, Combining CPPs with lipids and polymeric Nanoparticles in A Conjugated System, CPPs conjugated to nanoparticles for therapeutic purposes, and potential therapeutic uses of CPPs as delivery molecules. Also discussed the preclinical and clinical use of CPPS, intracellular trafficking of nanoparticles, and activatable and bioconjugated CPPs."
Recent Advances in Self-Assembled Nanoparticles for Drug Delivery.,"The collection of different bulk materials forms the nanoparticles, where the properties of the nanoparticle are solely different from the individual components before being ensembled. Selfassembled nanoparticles are basically a group of complex functional units that are formed by gathering the individual bulk components of the system. It includes micelles, polymeric nanoparticle, carbon nanotubes, liposomes and niosomes, <i>etc</i>. This self-assembly has progressively heightened interest to control the final complex structure of the nanoparticle and its associated properties. The main challenge of formulating self-assembled nanoparticle is to improve the delivery system, bioavailability, enhance circulation time, confer molecular targeting, controlled release, protection of the incorporated drug from external environment and also serve as nanocarriers for macromolecules. Ultimately, these self-assembled nanoparticles facilitate to overcome the physiological barriers <i>in vivo</i>. Self-assembly is an equilibrium process where both individual and assembled components are subsisting in equilibrium. It is a bottom up approach in which molecules are assembled spontaneously, non-covalently into a stable and welldefined structure. There are different approaches that have been adopted in fabrication of self-assembled nanoparticles by the researchers. The current review is enriched with strategies for nanoparticle selfassembly, associated properties, and its application in therapy."
Nanoparticles for drug delivery to the lungs.,"The lungs are an attractive route for non-invasive drug delivery with advantages for both systemic and local applications. Incorporating therapeutics with polymeric nanoparticles offers additional degrees of manipulation for delivery systems, providing sustained release and the ability to target specific cells and organs. However, nanoparticle delivery to the lungs has many challenges including formulation instability due to particle-particle interactions and poor delivery efficiency due to exhalation of low-inertia nanoparticles. Thus, novel methods formulating nanoparticles into the form of micron-scale dry powders have been developed. These carrier particles exhibit improved handling and delivery, while releasing nanoparticles upon deposition in the lungs. This review covers the development of nanoparticle formulations for pulmonary delivery as both individual nanoparticles and encapsulated within carrier particles."
Polymeric nanoparticles - targeted drug delivery systems for treatment of CNS disorders and their possible endocrine disrupting activities.,"Drug delivery to the central nervous system (CNS) represents one of the most priority challenges in research and development of pharmaceutical nanotechnology products. Among the various non-invasive approaches for CNS delivery, nanoparticle carriers and particularly polymeric nanoparticles (PNs) seem to be one of the most interesting. This review deals with PNs as CNS drug delivery systems and their potential endocrine disrupting properties. Possible interference with the development of neuroendocrine-reproductive system is considered. Special regard is being paid to potential mechanisms of PNs toxicity. Necessity to investigate the toxicity of nanomaterials and their impact on human health are discussed."
A systemic review on development of mesoporous nanoparticles as a vehicle for transdermal drug delivery.,"Recent advances in drug delivery technologies utilizing a variety of carriers have resulted in a paradigm shift in the current approach to diagnosis and therapy. Mesoporous silica nanoparticles (MSNs) were developed in response to the need for materials with high thermal, chemical, and mechanical properties. The synthesis, ease of surface functionalization, tunable pore size, large surface area, and biocompatibility of MSNs make them useful in a variety of biomedical applications such as drug delivery, theranostics, and stem cell research. In addition, MSNs have a high capability of delivering actives ranging from small molecules such as drugs and amino acids to larger peptides, vaccines, and antibodies in general. Moreover, MSN-based transdermal delivery has sparked a lot of interest because of the increase in drug stability, permeation, and ease of functionalization. The functionalization of MSNs plays an important role in the efficient delivery of therapeutic agents in a highly controlled manner. This review introduced dermal and transdermal drug delivery systems, explained the anatomy of the skin, and summarized different barriers that affect the transdermal delivery of many therapeutic agents. In addition, the fundamentals of MSNs together with their physicochemical properties, synthesis approaches, raw materials used in their fabrication, and factors affecting their physicochemical properties will be covered. Moreover, the applications of MSNs in dermal and transdermal delivery, the biocompatibility of MSNs in terms of toxicity and safety, and biodistribution will be explained with the help of a detailed literature review. The review is covering the current and future perspectives of MSNs in the pharmaceutical field with therapeutic applications."
The potential of biomimetic nanoparticles for tumor-targeted drug delivery.,"In past decades, rapid progress in nanoparticle (NP) synthesis and engineering has provided a broad range of nanoscale agents affording both therapeutic and diagnostic functions. More recently, the emergence of biomimetic NPs as an efficient and promising technology has further expanded this field. The employment of biomemetic NPs offers many distinct advantages, including enhanced stability, the solubilization of hydrophobic payloads, extended blood residence times and the ability to better target a region of interest. In this review, we focus on two main categories of biomimetic NPs, protein/peptide-templated biomimetic NPs and cell membrane-derived biomimetic NPs. The properties, applications and challenges of these biomimetic NPs in tumor diagnosis and treatment are discussed. The pros and cons, and future development, of biomimetic NPs are also considered."
Intelligent drug-delivery devices based on micro- and nano-technologies.,"This review focuses on the current drug-delivery modalities in R&D, as well as commercially available. Intelligent drug-delivery systems are described as novel technological innovations and clinical approaches to improve conventional treatments. These systems differ in methodology of therapeutic administration, intricacy, materials and patient compliance to address numerous clinical conditions that require various pharmacological therapies. These systems have been primarily described as active and passive microelectrical mechanical system devices, injectors and nanoparticle-based therapies, optimized to tailor specific pharmacokinetic profiles. The most critical considerations for the design of these intelligent delivery systems include the controlled release, target specificity, on-demand dosage adjustment, mass transfer and stability of the pharmacological agents. Drug-delivery systems continue to be developed and enhanced to provide better and more sophisticated treatments, promising an improvement in quality of life and extension of life expectancy."
Nuclear Delivery of Nanoparticle-Based Drug Delivery Systems by Nuclear Localization Signals.,"Nanomedicine 2.0 refers to the next generation of nanotechnology-based medical therapies and diagnostic tools. This field focuses on the development of more sophisticated and precise nanoparticles (NPs) for targeted drug delivery, imaging, and sensing. It has been established that the nuclear delivery of NP-loaded drugs can increase their therapeutic efficacy. To effectively direct the NPs to the nucleus, the attachment of nuclear localization signals (NLSs) to NPs has been employed in many applications. In this review, we will provide an overview of the structure of nuclear pore complexes (NPCs) and the classic nuclear import mechanism. Additionally, we will explore various nanoparticles, including their synthesis, functionalization, drug loading and release mechanisms, nuclear targeting strategies, and potential applications. Finally, we will highlight the challenges associated with developing nucleus-targeted nanoparticle-based drug delivery systems (NDDSs) and provide insights into the future of NDDSs."
Functional Excipients and Novel Drug Delivery Scenario in Self-nanoemulsifying Drug Delivery System: A Critical Note.,"Lipid-based formulations have emerged as prospective dosage forms for extracting the therapeutic effects of existing lipophilic compounds and novel chemical entities more efficiently. Compared to other excipients, lipids have the added benefit of enhancing the bioavailability of lipophilic and highly metabolizable drugs due to their unique physicochemical features and similarities to in vivo components. Furthermore, lipids can minimize the needed dose and even the toxicity of drugs with poor aqueous solubility when employed as the primary excipient. Hence, the aim of the present review is to highlight the functional behavior of lipid excipients used in SNEDD formulation along with the stability aspects of the formulation in vivo. Moreover, this review also covered the importance of SNEDDS in drug delivery, the therapeutic and manufacturing benefits of lipids as excipients, and the technological advances made so far to convert liquid to solid SNEDDS like melt granulation, adsorption on a solid support, spray cooling, melt extrusion/ spheronization has also highlighted. The mechanistic understanding of SNEDD absorption in vivo is highly complex, which was discussed very critically in this review. An emphasis on their application and success on an industrial scale was presented, as supported by case studies and patent surveys."
Stimuli-Responsive Boron-Based Materials in Drug Delivery.,"Drug delivery systems, which use components at the nanoscale level as diagnostic tools or to release therapeutic drugs to particular target areas in a regulated manner, are a fast-evolving field of science. The active pharmaceutical substance can be released via the drug delivery system to produce the desired therapeutic effect. The poor bioavailability and irregular plasma drug levels of conventional drug delivery systems (tablets, capsules, syrups, etc.) prevent them from achieving sustained delivery. The entire therapy process may be ineffective without a reliable delivery system. To achieve optimal safety and effectiveness, the drug must also be administered at a precision-controlled rate and the targeted spot. The issues with traditional drug delivery are overcome by the development of stimuli-responsive controlled drug release. Over the past decades, regulated drug delivery has evolved considerably, progressing from large- and nanoscale to smart-controlled drug delivery for several diseases. The current review provides an updated overview of recent developments in the field of stimuli-responsive boron-based materials in drug delivery for various diseases. Boron-containing compounds such as boron nitride, boronic acid, and boron dipyrromethene have been developed as a moving field of research in drug delivery. Due to their ability to achieve precise control over drug release through the response to particular stimuli (pH, light, glutathione, glucose or temperature), stimuli-responsive nanoscale drug delivery systems are attracting a lot of attention. The potential of developing their capabilities to a wide range of nanoscale systems, such as nanoparticles, nanosheets/nanospheres, nanotubes, nanocarriers, microneedles, nanocapsules, hydrogel, nanoassembly, etc., is also addressed and examined. This review also provides overall design principles to include stimuli-responsive boron nanomaterial-based drug delivery systems, which might inspire new concepts and applications."
Beyond Nanoparticle-Based Intracellular Drug Delivery: Cytosol/Organelle-Targeted Drug Release and Therapeutic Synergism.,"Nanoparticle (NP)-based drug delivery systems are conceived to solve poor water-solubility and chemical/physical instability, and their purpose expanded to target specific sites for maximizing therapeutic effects and minimizing unwanted events of payloads. Targeted sites are also narrowed from organs/tissues and cells to cytosol/organelles. Beyond specific site targeting, the particular release of payloads at the target sites is growing in importance. This review overviews various issues and their general strategies during multiple steps, from the preparation of drug-loaded NPs to their drug release at the target cytosol/organelles. In particular, this review focuses on current strategies for ""first"" delivery and ""later"" release of drugs to the cytosol or organelles of interest using specific stimuli in the target sites. Recognizing or distinguishing the presence/absence of stimuli or their differences in concentration/level/activity in one place from those in another is applied to stimuli-triggered release via bond cleavage or nanostructural transition. In addition, future directions on understanding the intracellular balance of stimuli and their counter-stimuli are demonstrated to synergize the therapeutic effects of payloads released from stimuli-sensitive NPs."
